Gen,Best,Worst,Avg,Timestamp
155,11.27462,16.31194,11.77705,2017-11-17 14:52:50
156,11.27462,15.66453,11.77597,2017-11-17 14:53:01
157,11.27462,17.97761,11.77799,2017-11-17 14:53:12
158,11.27462,16.04497,11.71200,2017-11-17 14:53:23
159,11.27462,16.32942,11.69339,2017-11-17 14:53:33
160,11.23685,16.86902,11.69146,2017-11-17 14:53:44
161,11.23685,16.65880,11.64229,2017-11-17 14:53:55
162,11.23685,17.93310,11.66532,2017-11-17 14:54:06
163,11.19616,17.89103,11.65148,2017-11-17 14:54:16
164,11.19616,16.64370,11.58245,2017-11-17 14:54:27
165,11.14717,16.47478,11.59182,2017-11-17 14:54:38
166,11.11574,17.60137,11.56921,2017-11-17 14:54:48
167,11.11574,17.99955,11.55404,2017-11-17 14:54:59
168,11.05407,17.46825,11.56730,2017-11-17 14:55:09
169,11.05407,15.46037,11.49868,2017-11-17 14:55:20
170,11.05407,16.17212,11.51806,2017-11-17 14:55:30
171,11.04388,15.45246,11.46958,2017-11-17 14:55:41
172,11.04388,17.44718,11.45432,2017-11-17 14:55:52
173,11.04388,16.12429,11.47931,2017-11-17 14:56:02
174,11.04388,16.20640,11.43832,2017-11-17 14:56:13
175,11.01639,17.03861,11.44625,2017-11-17 14:56:24
176,11.00862,15.63308,11.38939,2017-11-17 14:56:35
177,10.99661,16.35328,11.39078,2017-11-17 14:56:45
178,10.92707,17.19436,11.38379,2017-11-17 14:56:56
179,10.92673,16.94235,11.35328,2017-11-17 14:57:06
180,10.90953,17.08435,11.32823,2017-11-17 14:57:17
181,10.89421,15.74316,11.28393,2017-11-17 14:57:27
182,10.89421,16.20792,11.28483,2017-11-17 14:57:38
183,10.89421,15.98349,11.28418,2017-11-17 14:57:48
184,10.89421,16.55688,11.29210,2017-11-17 14:57:59
185,10.85721,17.31712,11.28665,2017-11-17 14:58:10
186,10.76913,17.26889,11.24189,2017-11-17 14:58:20
187,10.76913,15.86876,11.21706,2017-11-17 14:58:31
188,10.69351,17.45463,11.21877,2017-11-17 14:58:42
189,10.69351,16.67483,11.19441,2017-11-17 14:58:52
190,10.61410,16.07580,11.16806,2017-11-17 14:59:03
191,10.61410,16.40445,11.15081,2017-11-17 14:59:13
192,10.56103,16.35634,11.16909,2017-11-17 14:59:24
193,10.56103,16.11805,11.13434,2017-11-17 14:59:35
194,10.56103,17.91890,11.12592,2017-11-17 14:59:45
195,10.56103,17.61976,11.08639,2017-11-17 14:59:56
196,10.56103,16.20805,11.07610,2017-11-17 15:00:07
197,10.53293,16.29292,11.02943,2017-11-17 15:00:18
198,10.53293,15.70088,10.96889,2017-11-17 15:00:29
199,10.53293,15.46364,10.98709,2017-11-17 15:00:39
200,10.44174,15.54558,10.96248,2017-11-17 15:00:50
201,10.44174,15.37812,10.94274,2017-11-17 15:01:01
202,10.44174,15.75559,10.93836,2017-11-17 15:01:11
203,10.37395,16.87594,10.91024,2017-11-17 15:01:22
204,10.37395,16.11354,10.88514,2017-11-17 15:01:33
205,10.37395,16.66782,10.88866,2017-11-17 15:01:43
206,10.37395,16.17050,10.88073,2017-11-17 15:01:54
207,10.37395,17.80484,10.86444,2017-11-17 15:02:05
208,10.37395,15.79221,10.85798,2017-11-17 15:02:16
209,10.37395,14.72378,10.85253,2017-11-17 15:02:27
210,10.36777,16.55316,10.87757,2017-11-17 15:02:38
211,10.36401,16.90155,10.81360,2017-11-17 15:02:49
212,10.35507,15.48135,10.77354,2017-11-17 15:03:00
213,10.35507,16.41083,10.80661,2017-11-17 15:03:10
214,10.35507,14.88022,10.80565,2017-11-17 15:03:21
215,10.35507,14.76537,10.76821,2017-11-17 15:03:32
216,10.35507,16.70465,10.78453,2017-11-17 15:03:42
217,10.35507,16.39436,10.78315,2017-11-17 15:03:53
218,10.33268,17.41416,10.81826,2017-11-17 15:04:04
219,10.30182,17.39010,10.75169,2017-11-17 15:04:15
220,10.30182,15.28710,10.72897,2017-11-17 15:04:25
221,10.28800,16.55876,10.76066,2017-11-17 15:04:36
222,10.28800,16.55293,10.72796,2017-11-17 15:04:47
223,10.28800,15.74698,10.72795,2017-11-17 15:04:57
224,10.28178,18.59970,10.73583,2017-11-17 15:05:08
225,10.23396,15.64597,10.67482,2017-11-17 15:05:18
226,10.16512,15.72639,10.64557,2017-11-17 15:05:29
227,10.16512,15.82220,10.65292,2017-11-17 15:05:39
228,10.16512,16.51835,10.66287,2017-11-17 15:05:50
229,10.16512,15.81264,10.65791,2017-11-17 15:06:01
230,10.08990,16.39517,10.65362,2017-11-17 15:06:11
231,10.08990,14.70026,10.64237,2017-11-17 15:06:22
232,9.95212,18.45092,10.66046,2017-11-17 15:06:33
233,9.95212,15.42588,10.60834,2017-11-17 15:06:43
234,9.95212,16.29860,10.61366,2017-11-17 15:06:54
235,9.95212,15.75647,10.61875,2017-11-17 15:07:04
236,9.95212,17.92244,10.58641,2017-11-17 15:07:15
237,9.95212,16.51976,10.58078,2017-11-17 15:07:26
238,9.95212,16.24104,10.54607,2017-11-17 15:07:37
239,9.95212,15.53566,10.55888,2017-11-17 15:07:49
240,9.95212,17.27939,10.55196,2017-11-17 15:08:00
241,9.95212,15.47813,10.56586,2017-11-17 15:08:11
242,9.95212,16.73173,10.54382,2017-11-17 15:08:23
243,9.92285,16.64223,10.55953,2017-11-17 15:08:34
244,9.92285,16.65124,10.43941,2017-11-17 15:08:45
245,9.92285,17.63326,10.44038,2017-11-17 15:08:55
246,9.92285,15.16727,10.42125,2017-11-17 15:09:06
247,9.92285,15.96769,10.43122,2017-11-17 15:09:17
248,9.92285,18.00090,10.42935,2017-11-17 15:09:28
249,9.92285,15.41782,10.44037,2017-11-17 15:09:39
250,9.92285,15.61397,10.45437,2017-11-17 15:09:50
251,9.92285,15.91748,10.44883,2017-11-17 15:10:01
252,9.92285,17.38336,10.45104,2017-11-17 15:10:13
253,9.92285,15.53497,10.47504,2017-11-17 15:10:24
254,9.92285,15.48899,10.48409,2017-11-17 15:10:36
255,9.92285,16.81076,10.49079,2017-11-17 15:10:47
256,9.92285,15.86665,10.50338,2017-11-17 15:10:59
257,9.92285,16.37441,10.50885,2017-11-17 15:11:11
258,9.91375,16.11755,10.50897,2017-11-17 15:11:23
259,9.84995,15.55759,10.34187,2017-11-17 15:11:34
260,9.84995,18.38224,10.35587,2017-11-17 15:11:44
261,9.84995,15.28985,10.36308,2017-11-17 15:11:55
262,9.81368,17.20125,10.36170,2017-11-17 15:12:06
263,9.81368,16.60325,10.32774,2017-11-17 15:12:16
264,9.81368,16.74601,10.34409,2017-11-17 15:12:27
265,9.81368,15.49912,10.32056,2017-11-17 15:12:37
266,9.81368,16.64863,10.33774,2017-11-17 15:12:48
267,9.81368,16.67305,10.34679,2017-11-17 15:12:59
268,9.78505,17.00715,10.33172,2017-11-17 15:13:10
269,9.78505,16.15147,10.25354,2017-11-17 15:13:21
270,9.78505,15.74446,10.26682,2017-11-17 15:13:31
271,9.78505,16.81847,10.28456,2017-11-17 15:13:42
272,9.77147,16.21204,10.25832,2017-11-17 15:13:53
273,9.77147,15.48696,10.21384,2017-11-17 15:14:03
274,9.77147,15.33761,10.22267,2017-11-17 15:14:14
275,9.77147,16.61691,10.24609,2017-11-17 15:14:25
276,9.73754,17.47394,10.25675,2017-11-17 15:14:35
277,9.73754,16.83909,10.20971,2017-11-17 15:14:46
278,9.73754,16.26264,10.23931,2017-11-17 15:14:57
279,9.73754,16.76723,10.25161,2017-11-17 15:15:07
280,9.73754,16.26323,10.24007,2017-11-17 15:15:18
281,9.73754,16.06765,10.26419,2017-11-17 15:15:29
282,9.73754,16.50035,10.30414,2017-11-17 15:15:40
283,9.73754,16.95144,10.28906,2017-11-17 15:15:51
284,9.73754,16.63858,10.30887,2017-11-17 15:16:02
285,9.73754,16.00240,10.33524,2017-11-17 15:16:14
286,9.73754,16.79201,10.33429,2017-11-17 15:16:25
287,9.73754,16.37925,10.35674,2017-11-17 15:16:37
288,9.73754,15.95105,10.37155,2017-11-17 15:16:48
289,9.73754,16.69721,10.37428,2017-11-17 15:17:00
290,9.73754,16.96356,10.38358,2017-11-17 15:17:12
291,9.73754,16.10890,10.39727,2017-11-17 15:17:24
292,9.73754,18.01793,10.36477,2017-11-17 15:17:36
293,9.73754,16.31187,10.35280,2017-11-17 15:17:48
294,9.73754,16.78683,10.34945,2017-11-17 15:18:00
295,9.66313,17.63237,10.36323,2017-11-17 15:18:13
296,9.66313,15.50658,10.15572,2017-11-17 15:18:23
297,9.66313,15.69887,10.16444,2017-11-17 15:18:34
298,9.66313,17.36576,10.18396,2017-11-17 15:18:44
299,9.63354,16.55795,10.18263,2017-11-17 15:18:55
300,9.63354,16.24369,10.14759,2017-11-17 15:19:06
301,9.63354,17.37880,10.17738,2017-11-17 15:19:16
302,9.54964,16.94754,10.18179,2017-11-17 15:19:27
303,9.54964,15.50965,10.14702,2017-11-17 15:19:38
304,9.54964,15.63629,10.16299,2017-11-17 15:19:48
305,9.54964,15.95858,10.15920,2017-11-17 15:19:59
306,9.54964,15.94539,10.17644,2017-11-17 15:20:10
307,9.54964,15.78140,10.17861,2017-11-17 15:20:21
308,9.54964,16.90937,10.19622,2017-11-17 15:20:32
309,9.54964,18.02704,10.20648,2017-11-17 15:20:43
310,9.54964,15.85269,10.16072,2017-11-17 15:20:54
311,9.54964,16.14218,10.18694,2017-11-17 15:21:06
312,9.54964,16.66556,10.17003,2017-11-17 15:21:17
313,9.54964,16.05987,10.17139,2017-11-17 15:21:29
314,9.54964,16.39072,10.20339,2017-11-17 15:21:40
315,9.54964,16.78679,10.21593,2017-11-17 15:21:52
316,9.54964,16.59642,10.21496,2017-11-17 15:22:04
317,9.54964,17.85859,10.25401,2017-11-17 15:22:16
318,9.50948,16.66160,10.19918,2017-11-17 15:22:28
319,9.50948,14.33885,10.01540,2017-11-17 15:22:39
320,9.50948,16.40771,10.05840,2017-11-17 15:22:49
321,9.50948,16.30726,10.05620,2017-11-17 15:23:00
322,9.50948,15.71596,10.06878,2017-11-17 15:23:11
323,9.50948,17.25894,10.08023,2017-11-17 15:23:22
324,9.47912,16.57366,10.06664,2017-11-17 15:23:33
325,9.47912,16.32393,10.02409,2017-11-17 15:23:43
326,9.47912,17.60314,10.06638,2017-11-17 15:23:54
327,9.45481,17.20931,10.06533,2017-11-17 15:24:05
328,9.45481,15.00986,10.02656,2017-11-17 15:24:15
329,9.45481,15.42230,10.03572,2017-11-17 15:24:26
330,9.43383,17.12381,10.02670,2017-11-17 15:24:37
331,9.42913,16.97466,10.00456,2017-11-17 15:24:47
332,9.42913,17.40120,10.04497,2017-11-17 15:24:58
333,9.42913,15.29306,10.03956,2017-11-17 15:25:08
334,9.42913,17.34467,10.06958,2017-11-17 15:25:19
335,9.42913,17.09060,10.05718,2017-11-17 15:25:30
336,9.42913,17.11883,10.05287,2017-11-17 15:25:41
337,9.38204,17.88624,10.02944,2017-11-17 15:25:52
338,9.38204,16.21799,9.95903,2017-11-17 15:26:02
339,9.38204,17.58086,9.96225,2017-11-17 15:26:13
340,9.38204,16.56328,9.93507,2017-11-17 15:26:23
341,9.38204,15.40430,9.92298,2017-11-17 15:26:34
342,9.38204,16.79748,9.93430,2017-11-17 15:26:45
343,9.38204,17.21364,9.93964,2017-11-17 15:26:56
344,9.38204,16.86513,9.98593,2017-11-17 15:27:07
345,9.38204,15.53948,9.96194,2017-11-17 15:27:18
346,9.38204,16.05851,9.96946,2017-11-17 15:27:30
347,9.38204,18.06183,9.99866,2017-11-17 15:27:41
348,9.34626,17.14969,10.00335,2017-11-17 15:27:53
349,9.34626,15.43606,9.87039,2017-11-17 15:28:03
350,9.34626,16.97780,9.89377,2017-11-17 15:28:14
351,9.34626,17.94534,9.89332,2017-11-17 15:28:24
352,9.34626,16.85717,9.91477,2017-11-17 15:28:35
353,9.34626,16.49926,9.91714,2017-11-17 15:28:46
