Gen,Best,Worst,Avg,Timestamp
178,7.43829,9.65583,8.41629,2017-12-04 20:45:21
179,7.43829,10.12291,8.43025,2017-12-04 20:45:26
180,7.43829,10.06388,8.42833,2017-12-04 20:45:30
181,7.43829,9.91356,8.43523,2017-12-04 20:45:34
182,7.43829,9.95504,8.46016,2017-12-04 20:45:38
183,7.43829,9.97848,8.44752,2017-12-04 20:45:43
184,7.35902,10.18685,8.47515,2017-12-04 20:45:47
185,7.35902,9.77074,8.46763,2017-12-04 20:45:51
186,7.30162,9.63728,8.45830,2017-12-04 20:45:55
187,7.30162,9.97784,8.46380,2017-12-04 20:45:59
188,7.30162,10.28004,8.46852,2017-12-04 20:46:03
189,7.30162,9.60421,8.40844,2017-12-04 20:46:07
190,7.30162,9.48889,8.38955,2017-12-04 20:46:11
191,7.30162,9.82779,8.42967,2017-12-04 20:46:15
192,7.30162,9.66255,8.38375,2017-12-04 20:46:19
193,7.30162,9.83416,8.35636,2017-12-04 20:46:24
194,7.30162,10.04146,8.32060,2017-12-04 20:46:28
195,7.30162,10.51468,8.33348,2017-12-04 20:46:32
196,7.30162,10.01863,8.36662,2017-12-04 20:46:36
197,7.30162,9.84688,8.36121,2017-12-04 20:46:40
198,7.30162,10.20037,8.38520,2017-12-04 20:46:45
199,7.23364,10.79141,8.36902,2017-12-04 20:46:49
200,7.23364,10.03684,8.32822,2017-12-04 20:46:53
201,7.23364,9.66909,8.35003,2017-12-04 20:46:57
202,7.23364,9.91819,8.28227,2017-12-04 20:47:01
203,7.23364,10.04223,8.25054,2017-12-04 20:47:05
204,7.18784,9.50526,8.23877,2017-12-04 20:47:09
205,7.18784,9.46545,8.27095,2017-12-04 20:47:13
206,7.18784,10.07798,8.33968,2017-12-04 20:47:17
207,7.18784,10.26566,8.27518,2017-12-04 20:47:21
208,7.18784,10.02456,8.19211,2017-12-04 20:47:25
209,7.18784,9.96775,8.17337,2017-12-04 20:47:29
210,7.18784,10.68557,8.22104,2017-12-04 20:47:34
211,7.18784,10.11368,8.20917,2017-12-04 20:47:38
212,7.18784,9.91576,8.18528,2017-12-04 20:47:42
213,7.18784,10.32593,8.19384,2017-12-04 20:47:46
214,7.03100,10.22716,8.19744,2017-12-04 20:47:50
215,7.03100,9.72077,8.18513,2017-12-04 20:47:54
216,7.03100,10.11157,8.16932,2017-12-04 20:47:58
217,7.03100,9.93015,8.12743,2017-12-04 20:48:02
218,7.03100,10.25312,8.05095,2017-12-04 20:48:06
219,7.03100,10.08311,8.02326,2017-12-04 20:48:10
220,7.03100,10.20758,8.05782,2017-12-04 20:48:14
221,7.03100,10.19428,8.04834,2017-12-04 20:48:18
